50
5	5
2	2	0	1	286
3	1	0	1	328
1	1	0	1	130
3	2	0	1	483
2	2	0	1	279
3	3	0	1	626
1	1	0	1	101
3	1	0	1	309
2	1	0	1	186
2	1	0	1	242
1	1	0	1	122
1	1	0	1	133
2	3	0	1	387
1	1	0	1	91
2	2	0	1	261
3	1	0	1	283
1	1	0	1	117
3	3	0	1	528
1	2	0	1	176
2	3	0	1	367
1	3	0	1	204
2	2	0	1	342
2	2	0	1	296
3	2	0	1	446
3	1	0	1	215
2	1	0	1	129
2	1	0	1	195
2	2	0	1	235
3	3	0	1	581
1	1	0	1	164
1	1	0	1	158
2	3	0	1	393
1	2	0	1	270
2	1	0	1	205
3	2	0	1	382
3	3	0	1	492
1	1	0	1	114
1	3	0	1	187
2	2	0	1	329
3	3	0	1	562
1	2	0	1	196
3	2	0	1	404
2	2	0	1	399
2	2	0	1	408
1	3	0	1	275
2	2	0	1	406
1	2	0	1	189
3	1	0	1	305
3	2	0	1	355
2	2	0	1	332
